STATE-DISTRICT;Name;Party;Office Room;Phone;Committee Assignment
NY-19;Molinaro  Marcus;R;1207 LHOB;(202) 225-5441;Agriculture|Transportation and Infrastructure|Small Business
NY-20;Tonko  Paul;D;2369 RHOB;(202) 225-5076;Energy and Commerce|Science  Space  and Technology
NY-21;Stefanik  Elise;R;2211 RHOB;(202) 225-4611;Armed Services|Education and the Workforce|Select Subcommittee on the Weaponization of the Fed Govt|Intelligence
NY-22;Williams  Brandon;R;1022 LHOB;(202) 225-3701;Education and the Workforce|Transportation and Infrastructure|Science  Space  and Technology
NY-23;Langworthy  Nicholas;R;1630 LHOB;(202) 225-3161;Agriculture|Oversight and Accountability|Rules
NY-24;Tenney  Claudia;R;2349 RHOB;(202) 225-3665;Science  Space  and Technology|Ways and Means
NY-25;Morelle  Joseph;D;570 CHOB;(202) 225-3615;Appropriations|House Administration
NY-26;Higgins  Brian;D;2269 RHOB;(202) 225-3306;Budget|Ways and Means
NC-01;Davis  Donald;D;1123 LHOB;(202) 225-3101;Agriculture|Armed Services
NC-02;Ross  Deborah;D;1221 LHOB;(202) 225-3032;Judiciary|Ethics|Science  Space  and Technology|Select Subcommittee on the Coronavirus Pandemic
NC-03;Murphy  Gregory;R;407 CHOB;(202) 225-3415;House Administration|Veterans' Affairs|Ways and Means
NC-04;Foushee  Valerie;D;1716 LHOB;(202) 225-1784;Transportation and Infrastructure|Science  Space  and Technology
NC-05;Foxx  Virginia;R;2462 RHOB;(202) 225-2071;Education and the Workforce|Oversight and Accountability
NC-06;Manning  Kathy;D;307 CHOB;(202) 225-3065;Education and the Workforce|Foreign Affairs
NC-07;Rouzer  David;R;2333 RHOB;(202) 225-2731;Agriculture|Transportation and Infrastructure
NC-08;Bishop  Dan;R;2459 RHOB;(202) 225-1976;Select Subcommittee on the Weaponization of the Fed Govt|Homeland Security|Judiciary
NC-09;Hudson  Richard;R;2112 RHOB;(202) 225-3715;Energy and Commerce
NC-10;McHenry  Patrick;R;2134 RHOB;(202) 225-2576;Financial Services
NC-11;Edwards  Chuck;R;1505 LHOB;(202) 225-6401;Budget|Oversight and Accountability|Transportation and Infrastructure
NC-12;Adams  Alma;D;2436 RHOB;(202) 225-1510;Agriculture|Education and the Workforce
NC-13;Nickel  Wiley;D;1133 LHOB;(202) 225-4531;Financial Services
NC-14;Jackson  Jeff;D;1318 LHOB;(202) 225-5634;Armed Services|Science  Space  and Technology
ND-AL;Armstrong  Kelly;R;2235 RHOB;(202) 225-2611;Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability|Energy and Commerce
OH-01;Landsman  Greg;D;1432 LHOB;(202) 225-2216;Small Business|Veterans' Affairs
OH-02;Wenstrup  Brad;R;2335 RHOB;(202) 225-3164;Intelligence|Select Subcommittee on the Coronavirus Pandemic|Ways and Means
OH-03;Beatty  Joyce;D;2079 RHOB;(202) 225-4324;Financial Services
OH-04;Jordan  Jim;R;2056 RHOB;(202) 225-2676;Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability|Judiciary
OH-05;Latta  Robert;R;2467 RHOB;(202) 225-6405;Energy and Commerce
OH-06;Johnson  Bill;R;2082 RHOB;(202) 225-5705;Energy and Commerce
OH-07;Miller  Max;R;143 CHOB;(202) 225-3876;Agriculture|Science  Space  and Technology
OH-08;Davidson  Warren;R;2113 RHOB;(202) 225-6205;Financial Services|Foreign Affairs
OH-09;Kaptur  Marcy;D;2186 RHOB;(202) 225-4146;Appropriations
OH-10;Turner  Michael;R;2183 RHOB;(202) 225-6465;Armed Services|Oversight and Accountability|Intelligence
OH-11;Brown  Shontel;D;449 CHOB;(202) 225-7032;Agriculture|Oversight and Accountability|Select Comm on the Strategic Competition US and China
OH-12;Balderson  Troy;R;2429 RHOB;(202) 225-5355;Energy and Commerce
OH-13;Sykes  Emilia;D;1217 LHOB;(202) 225-6265;Transportation and Infrastructure|Science  Space  and Technology
OH-14;Joyce  David;R;2065 RHOB;(202) 225-5731;Appropriations|Ethics
OH-15;Carey  Mike;R;1433 LHOB;(202) 225-2015;House Administration|Ways and Means
OK-01;Hern  Kevin;R;1019 LHOB;(202) 225-2211;Ways and Means
OK-02;Brecheen  Josh;R;1208 LHOB;(202) 225-2701;Budget|Homeland Security
OK-03;Lucas  Frank;R;2405 RHOB;(202) 225-5565;Agriculture|Financial Services|Science  Space  and Technology
OK-04;Cole  Tom;R;2207 RHOB;(202) 225-6165;Appropriations|Rules
OK-05;Bice  Stephanie;R;2437 RHOB;(202) 225-2132;Appropriations|Budget|House Administration|Science  Space  and Technology
OR-01;Bonamici  Suzanne;D;2231 RHOB;(202) 225-0855;Education and the Workforce|Science  Space  and Technology
OR-02;Bentz  Cliff;R;409 CHOB;(202) 225-6730;Natural Resources|Judiciary
OR-03;Blumenauer  Earl;D;1111 LHOB;(202) 225-4811;Budget|Ways and Means
OR-04;Hoyle  Val;D;1620 LHOB;(202) 225-6416;Natural Resources|Transportation and Infrastructure
OR-05;Chavez-DeRemer  Lori;R;1722 LHOB;(202) 225-5711;Agriculture|Education and the Workforce|Transportation and Infrastructure
OR-06;Salinas  Andrea;D;109 CHOB;(202) 225-5643;Agriculture|Science  Space  and Technology
PA-01;Fitzpatrick  Brian;R;271 CHOB;(202) 225-4276;Intelligence|Ways and Means
PA-02;Boyle  Brendan;D;1502 LHOB;(202) 225-6111;Budget
PA-03;Evans  Dwight;D;1105 LHOB;(202) 225-4001;Ways and Means
PA-04;Dean  Madeleine;D;150 CHOB;(202) 225-4731;Foreign Affairs|Judiciary
PA-05;Scanlon  Mary;D;1227 LHOB;(202) 225-2011;Judiciary|Rules
PA-06;Houlahan  Chrissy;D;1727 LHOB;(202) 225-4315;Armed Services|Intelligence
PA-07;Wild  Susan;D;1027 LHOB;(202) 225-6411;Education and the Workforce|Foreign Affairs|Ethics
PA-08;Cartwright  Matt;D;2102 RHOB;(202) 225-5546;Appropriations
PA-09;Meuser  Daniel;R;350 CHOB;(202) 225-6511;Financial Services|Small Business
PA-10;Perry  Scott;R;2160 RHOB;(202) 225-5836;Foreign Affairs|Oversight and Accountability|Transportation and Infrastructure
PA-11;Smucker  Lloyd;R;302 CHOB;(202) 225-2411;Budget|Education and the Workforce|Ways and Means
PA-12;Lee  Summer;D;243 CHOB;(202) 225-2135;Oversight and Accountability|Science  Space  and Technology
PA-13;Joyce  John;R;152 CHOB;(202) 225-2431;Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic
PA-14;Reschenthaler  Guy;R;342 CHOB;(202) 225-2065;Appropriations|Rules
PA-15;Thompson  Glenn;R;400 CHOB;(202) 225-5121;Agriculture|Education and the Workforce
PA-16;Kelly  Mike;R;1707 LHOB;(202) 225-5406;Ways and Means
PA-17;Deluzio  Christopher;D;1222 LHOB;(202) 225-2301;Armed Services|Veterans' Affairs
RI-01;Cicilline  David;D;2233 RHOB;(202) 225-4911;Foreign Affairs|Judiciary
RI-02;Magaziner  Seth;D;1218 LHOB;(202) 225-2735;Homeland Security|Natural Resources
SC-01;Mace  Nancy;R;1728 LHOB;(202) 225-3176;Armed Services|Oversight and Accountability|Veterans' Affairs
SC-02;Wilson  Joe;R;1436 LHOB;(202) 225-2452;Armed Services|Education and the Workforce|Foreign Affairs
SC-03;Duncan  Jeff;R;2229 RHOB;(202) 225-5301;Energy and Commerce
SC-04;Timmons  William;R;267 CHOB;(202) 225-6030;Financial Services|Oversight and Accountability
SC-05;Norman  Ralph;R;569 CHOB;(202) 225-5501;Financial Services|Budget|Rules
SC-06;Clyburn  James;D;274 CHOB;(202) 225-3315;
SC-07;Fry  Russell;R;1626 LHOB;(202) 225-9895;Oversight and Accountability|Judiciary
SD-AL;Johnson  Dusty;R;1714 LHOB;(202) 225-2801;Agriculture|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China
TN-01;Harshbarger  Diana;R;167 CHOB;(202) 225-6356;Energy and Commerce
TN-02;Burchett  Tim;R;1122 LHOB;(202) 225-5435;Foreign Affairs|Oversight and Accountability|Transportation and Infrastructure
TN-03;Fleischmann  Charles;R;2187 RHOB;(202) 225-3271;Appropriations|Science  Space  and Technology
TN-04;DesJarlais  Scott;R;2304 RHOB;(202) 225-6831;Agriculture|Armed Services
TN-05;Ogles  Andrew;R;151 CHOB;(202) 225-4311;Financial Services
TN-06;Rose  John;R;2238 RHOB;(202) 225-4231;Agriculture|Financial Services
TN-07;Green  Mark;R;2446 RHOB;(202) 225-2811;Foreign Affairs|Homeland Security
TN-08;Kustoff  David;R;560 CHOB;(202) 225-4714;Ways and Means
TN-09;Cohen  Steve;D;2268 RHOB;(202) 225-3265;Judiciary|Transportation and Infrastructure
TX-01;Moran  Nathaniel;R;1541 LHOB;(202) 225-3035;Education and the Workforce|Foreign Affairs|Judiciary
TX-02;Crenshaw  Dan;R;248 CHOB;(202) 225-6565;Energy and Commerce|Intelligence
TX-03;Self  Keith;R;1113 LHOB;(202) 225-4201;Foreign Affairs|Veterans' Affairs
TX-04;Fallon  Pat;R;2416 RHOB;(202) 225-6673;Armed Services|Oversight and Accountability
TX-05;Gooden  Lance;R;2431 RHOB;(202) 225-3484;Judiciary|Transportation and Infrastructure
TX-06;Ellzey  Jake;R;1721 LHOB;(202) 225-2002;Appropriations|Small Business
TX-07;Fletcher  Lizzie;D;346 CHOB;(202) 225-2571;Energy and Commerce
TX-08;Luttrell  Morgan;R;1320 LHOB;(202) 225-4901;Armed Services|Homeland Security|Veterans' Affairs
TX-09;Green  Al;D;2347 RHOB;(202) 225-7508;Financial Services
TX-10;McCaul  Michael;R;2300 RHOB;(202) 225-2401;Foreign Affairs|Homeland Security
TX-11;Pfluger  August;R;1124 LHOB;(202) 225-3605;Homeland Security|Energy and Commerce
TX-12;Granger  Kay;R;2308 RHOB;(202) 225-5071;Appropriations
TX-13;Jackson  Ronny;R;446 CHOB;(202) 225-3706;Agriculture|Armed Services|Foreign Affairs|Select Subcommittee on the Coronavirus Pandemic
TX-14;Weber  Randy;R;107 CHOB;(202) 225-2831;Energy and Commerce|Science  Space  and Technology
TX-15;De La Cruz  Monica;R;1415 LHOB;(202) 225-9901;Agriculture|Financial Services
TX-16;Escobar  Veronica;D;2448 RHOB;(202) 225-4831;Armed Services|Judiciary|Ethics
TX-17;Sessions  Pete;R;2204 RHOB;(202) 225-6105;Financial Services|Oversight and Accountability
TX-18;Jackson Lee  Sheila;D;2314 RHOB;(202) 225-3816;Budget|Homeland Security|Judiciary
TX-19;Arrington  Jodey;R;1107 LHOB;(202) 225-4005;Budget|Ways and Means
TX-20;Castro  Joaquin;D;2241 RHOB;(202) 225-3236;Foreign Affairs|Intelligence
TX-21;Roy  Chip;R;103 CHOB;(202) 225-4236;Budget|Judiciary|Rules
TX-22;Nehls  Troy;R;1104 LHOB;(202) 225-5951;Judiciary|Transportation and Infrastructure
TX-23;Gonzales  Tony;R;2244 RHOB;(202) 225-4511;Appropriations|Homeland Security
TX-24;Van Duyne  Beth;R;1725 LHOB;(202) 225-6605;Small Business|Ways and Means
TX-25;Williams  Roger;R;2336 RHOB;(202) 225-9896;Financial Services|Small Business
TX-26;Burgess  Michael;R;2161 RHOB;(202) 225-7772;Budget|Energy and Commerce|Rules
TX-27;Cloud  Michael;R;171 CHOB;(202) 225-7742;Appropriations|Select Subcommittee on the Coronavirus Pandemic
TX-28;Cuellar  Henry;D;2372 RHOB;(202) 225-1640;Appropriations
TX-29;Garcia  Sylvia;D;2419 RHOB;(202) 225-1688;Financial Services|Select Subcommittee on the Weaponization of the Fed Govt
TX-30;Crockett  Jasmine;D;1616 LHOB;(202) 225-8885;Agriculture|Oversight and Accountability
TX-31;Carter  John;R;2208 RHOB;(202) 225-3864;Appropriations
TX-32;Allred  Colin;D;348 CHOB;(202) 225-2231;Foreign Affairs|Select Subcommittee on the Weaponization of the Fed Govt|Transportation and Infrastructure
TX-33;Veasey  Marc;D;2348 RHOB;(202) 225-9897;Armed Services|Energy and Commerce
TX-34;Gonzalez  Vicente;D;154 CHOB;(202) 225-2531;Financial Services
TX-35;Casar  Greg;D;1339 LHOB;(202) 225-5645;Agriculture|Oversight and Accountability
TX-36;Babin  Brian;R;2236 RHOB;(202) 225-1555;Transportation and Infrastructure|Science  Space  and Technology
TX-37;Doggett  Lloyd;D;2307 RHOB;(202) 225-4865;Budget|Ways and Means
TX-38;Hunt  Wesley;R;1520 LHOB;(202) 225-5646;Natural Resources|Judiciary|Small Business
UT-01;Moore  Blake;R;1131 LHOB;(202) 225-0453;Budget|Ways and Means
UT-02;Stewart  Chris;R;166 CHOB;(202) 225-9730;Appropriations|Select Subcommittee on the Weaponization of the Fed Govt|Intelligence
UT-03;Curtis  John;R;2323 RHOB;(202) 225-7751;Energy and Commerce|Natural Resources
UT-04;Owens  Burgess;R;309 CHOB;(202) 225-3011;Education and the Workforce|Transportation and Infrastructure
VT-AL;Balint  Becca;D;1408 LHOB;(202) 225-4115;Budget|Oversight and Accountability
VA-01;Wittman  Robert;R;2055 RHOB;(202) 225-4261;Armed Services|Natural Resources|Select Comm on the Strategic Competition US and China
VA-02;Kiggans  Jennifer;R;1037 LHOB;(202) 225-4215;Armed Services|Natural Resources|Veterans' Affairs
VA-03;Scott  Robert;D;2328 RHOB;(202) 225-8351;Budget|Education and the Workforce
VA-04;McClellan  Jennifer;D;2417 RHOB;(202) 225-6365;
VA-05;Good  Bob;R;461 CHOB;(202) 225-4711;Budget|Education and the Workforce
VA-06;Cline  Ben;R;2443 RHOB;(202) 225-5431;Appropriations|Budget|Judiciary
VA-07;Spanberger  Abigail;D;562 CHOB;(202) 225-2815;Agriculture|Intelligence
VA-08;Beyer  Donald;D;1119 LHOB;(202) 225-4376;Ways and Means
VA-09;Griffith  H.;R;2202 RHOB;(202) 225-3861;House Administration|Energy and Commerce
VA-10;Wexton  Jennifer;D;1210 LHOB;(202) 225-5136;Appropriations|Budget
VA-11;Connolly  Gerald;D;2265 RHOB;(202) 225-1492;Foreign Affairs|Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability
WA-01;DelBene  Suzan;D;2330 RHOB;(202) 225-6311;Ways and Means
WA-02;Larsen  Rick;D;2163 RHOB;(202) 225-2605;Transportation and Infrastructure
WA-03;Perez  Marie;D;1431 LHOB;(202) 225-3536;Agriculture|Small Business
WA-04;Newhouse  Dan;R;504 CHOB;(202) 225-5816;Appropriations|Select Comm on the Strategic Competition US and China
WA-05;Rodgers  Cathy;R;2188 RHOB;(202) 225-2006;Energy and Commerce
WA-06;Kilmer  Derek;D;1226 LHOB;(202) 225-5916;Appropriations|House Administration
WA-07;Jayapal  Pramila;D;2346 RHOB;(202) 225-3106;Education and the Workforce|Judiciary
WA-08;Schrier  Kim;D;1110 LHOB;(202) 225-7761;Energy and Commerce
WA-09;Smith  Adam;D;2264 RHOB;(202) 225-8901;Armed Services
WA-10;Strickland  Marilyn;D;1708 LHOB;(202) 225-9740;Armed Services|Transportation and Infrastructure
WV-01;Miller  Carol;R;465 CHOB;(202) 225-3452;Ways and Means
WV-02;Mooney  Alexander;R;2228 RHOB;(202) 225-2711;Financial Services
WI-01;Steil  Bryan;R;1526 LHOB;(202) 225-3031;Financial Services|House Administration
WI-02;Pocan  Mark;D;1026 LHOB;(202) 225-2906;Appropriations
WI-03;Van Orden  Derrick;R;1513 LHOB;(202) 225-5506;Agriculture|Transportation and Infrastructure|Veterans' Affairs
WI-04;Moore  Gwen;D;2252 RHOB;(202) 225-4572;Ways and Means
WI-05;Fitzgerald  Scott;R;1507 LHOB;(202) 225-5101;Financial Services|Judiciary
WI-06;Grothman  Glenn;R;1511 LHOB;(202) 225-2476;Budget|Education and the Workforce|Oversight and Accountability
WI-07;Tiffany  Thomas;R;451 CHOB;(202) 225-3365;Natural Resources|Judiciary
WI-08;Gallagher  Mike;R;1211 LHOB;(202) 225-5665;Armed Services|Intelligence|Select Comm on the Strategic Competition US and China
WY-AL;Hageman  Harriet;R;1531 LHOB;(202) 225-2311;Select Subcommittee on the Weaponization of the Fed Govt|Natural Resources|Judiciary
